0,Apple Pan  The,West LA,10801 W. Pico Blvd.
1,Arnie Morton's of Chicago,Los Angeles,435 S. La Cienega Blvd.
2,Art's Deli,Studio City,12224 Ventura Blvd.
3,Asahi Ramen,West LA,2027 Sawtelle Blvd.
4,Baja Fresh,Westlake Village,3345 Kimber Dr.
5,Bel-Air Hotel,Bel Air,701 Stone Canyon Rd.
6,Belvedere  The,Beverly Hills,9882 Little Santa Monica Blvd.
7,Benita's Frites,Promenade Santa Monica,1433 Third St.
8,Bernard's,Los Angeles,515 S. Olive St.
9,Bistro 45,Pasadena,45 S. Mentor Ave.
10,Brent's Deli,Northridge,19565 Parthenia Ave.
11,Brighton Coffee Shop,Beverly Hills,9600 Brighton Way
12,Bristol Farms Market Cafe,Pasadena,1570 Rosecrans Ave.
13,Bruno's,Mar Vista,3838 Centinela Ave.
14,Cafe '50s,Venice,838 Lincoln Blvd.
15,Cafe Bizou,Sherman Oaks,14016 Ventura Blvd.
16,Cafe Blanc,Beverly Hills,9777 Little Santa Monica Blvd.
17,Campanile,Los Angeles,624 S. La Brea Ave.
18,Cassell's,LA,3266 W. Sixth St.
19,Chez Melange,Redondo Beach,1716 PCH
20,Chinois on Main,Santa Monica,2709 Main St.
21,Citrus,Los Angeles,6703 Melrose Ave.
22,Diaghilev,Hollywood,1020 N. San Vicente Blvd.
23,Don Antonio's,Westwood,1136 Westwood Blvd.
24,Duke's,Hollywood,8909 Sunset Blvd.
25,Falafel King,Westwood,1059 Broxton Ave.
26,Feast from the East,West LA,1949 Westwood Blvd.
27,Fenix at the Argyle,Hollywood,8358 Sunset Blvd.
28,Granita,Malibu,23725 W. Malibu Rd.
29,Grill  The,Beverly Hills,9560 Dayton Way
30,Gumbo Pot  The,LA,6333 W. Third St.
31,Hollywood Hills Coffee Shop,Hollywood,6145 Franklin Ave.
32,Indo Cafe,LA,10428 1/2 National Blvd.
33,Jan's Family Restaurant,LA,8424 Beverly Blvd.
34,JiRaffe,Santa Monica,502 Santa Monica Blvd.
35,Jody Maroni's Sausage Kingdom,Venice,2011 Ocean Front Walk
36,Joe's,Venice,1023 Abbot Kinney Blvd.
37,John O'Groats,West LA,10516 W. Pico Blvd.
38,Johnnie's Pastrami,Culver City,4017 S. Sepulveda Blvd.
39,Johnny Reb's Southern Smokehouse,Long Beach,4663 Long Beach Blvd.
40,Johnny Rockets (LA),LA,7507 Melrose Ave.
41,Katsu,Los Feliz,1972 Hillhurst Ave.
42,Killer Shrimp,Studio City,4000 Colfax Ave.
43,Kokomo Cafe,LA,6333 W. Third St.
44,Koo Koo Roo,LA,8393 W. Beverly Blvd.
45,L'Orangerie,Hollywood,903 N. La Cienega Blvd.
46,La Cachette,Century City,10506 Little Santa Monica Blvd.
47,La Salsa (LA),Malibu,22800 PCH
48,La Serenata de Garibaldi,Boyle Hts.,1842 E. First St.
49,Langer's,LA,704 S. Alvarado St.
50,Le Chardonnay (Los Angeles),Los Angeles,8284 Melrose Ave.
51,LoCal NoChol,Westlake Village,30869 Thousand Oaks Blvd.
52,Locanda Veneta,Los Angeles,8638 W. Third St.
53,Main Course  The,Rancho Park,10509 W. Pico Blvd.
54,Mani's Bakery & Espresso Bar,LA,519 S. Fairfax Ave.
55,Martha's 22nd Street Grill,Hermosa Beach,25 22nd St.
56,Matsuhisa,Beverly Hills,129 N. La Cienega Blvd.
57,Maxwell's Cafe,Marina del Rey,13329 Washington Blvd.
58,Michael's (Los Angeles),Santa Monica,1147 Third St.
59,Mishima,LA,8474 W. Third St.
60,Mo Better Meatty Meat,LA,7261 Melrose Ave.
61,Mulberry St.,Encino,17040 Ventura Blvd.
62,Ocean Park Cafe,Santa Monica,3117 Ocean Park Blvd.
63,Ocean Star,Monterey Park,145 N. Atlantic Blvd.
64,Original Pantry Bakery,Downtown LA,875 S. Figueroa St.
65,Palm  The (Los Angeles),Hollywood,9001 Santa Monica Blvd.
66,Parkway Grill,Pasadena,510 S. Arroyo Pkwy.
67,Patina,Los Angeles,5955 Melrose Ave.
68,Philippe The Original,Chinatown,1001 N. Alameda St.
69,Pho Hoa,Chinatown,642 Broadway
70,Pink's Famous Chili Dogs,LA,709 N. La Brea Ave.
71,Pinot Bistro,Studio City,12969 Ventura Blvd.
72,Poquito Mas,Burbank,2635 W. Olive Ave.
73,R-23,Los Angeles,923 E. Third St.
74,Rae's,Santa Monica,2901 Pico Blvd.
75,Rex Il Ristorante,Los Angeles,617 S. Olive St.
76,Rubin's Red Hots,Encino,15322 Ventura Blvd.
77,Ruby's (LA),Pasadena,45 S. Fair Oaks Ave.
78,Russell's Burgers,Seal Beach,1198 PCH
79,Ruth's Chris Steak House (Los Angeles),Beverly Hills,224 S. Beverly Dr.
80,Shiro,Pasadena,1505 Mission St.
81,Spago (Los Angeles),Hollywood,8795 Sunset Blvd.
82,Sushi Nozawa,Studio City,11288 Ventura Blvd.
83,Sweet Lady Jane,LA,8360 Melrose Ave.
84,Taiko,Brentwood,11677 San Vicente Blvd.
85,Tommy's,LA,2575 Beverly Blvd.
86,Uncle Bill's Pancake House,Manhattan Beach,1305 Highland Ave.
87,Valentino,Santa Monica,3115 Pico Blvd.
88,Water Grill,Los Angeles,544 S. Grand Ave.
89,Yujean Kang's,Pasadena,67 N. Raymond Ave.
90,Zankou Chicken,Glendale,1415 E. Colorado St.
91,21 Club,New York City,21 W. 52nd St.
92,Afghan Kebab House,New York City,764 Ninth Ave.
93,Aquavit,New York City,13 W. 54th St.
94,Arcadia,New York City,21 E. 62nd St.
95,Aureole,New York City,34 E. 61st St.
96,Benny's Burritos,New York City,93 Ave.
97,Cafe Con Leche,New York City,424 Amsterdam Ave.
98,Cafe Lalo,New York City,201 W. 83rd St.
99,Cafe des Artistes,New York City,1 W. 67th St.
100,Carmine's,New York City,2450 Broadway
101,Carnegie Deli,New York City,854 Seventh Ave.
102,Chanterelle,New York City,2 Harrison St.
103,Corner Bistro,New York City,331 W. Fourth St.
104,Cucina della Fontana,New York City,368 Bleecker St.
105,Cucina di Pesce,New York City,87 E. Fourth St.
106,Daniel,New York City,20 E. 76th St.
107,Darbar,New York City,44 W. 56th St.
108,Dawat,New York City,210 E. 58th St.
109,EJ's Luncheonette,New York City,432 Sixth Ave.
110,Edison Cafe,New York City,228 W. 47th St.
111,Elias Corner,Queens,24-02 31st St.
112,Felidia,New York City,243 E. 58th St.
113,Four Seasons,New York City,99 E. 52nd St.
114,Good Enough to Eat,New York City,483 Amsterdam Ave.
115,Gotham Bar & Grill,New York City,12 E. 12th St.
116,Gramercy Tavern,New York City,42 E. 20th St.
117,Gray's Papaya,New York City,2090 Broadway
118,Il Mulino,New York City,86 W. Third St.
119,Island Spice,New York City,402 W. 44th St.
120,Jackson Diner,Queens,37-03 74th St.
121,Jo Jo,New York City,160 E. 64th St.
122,Joe's Shanghai,Queens,9 Pell St.
123,John's Pizzeria,New York City,48 W. 65th St.
124,Kelley & Ping,New York City,127 Greene St.
125,Kiev,New York City,117 Second Ave.
126,Kuruma Zushi,New York City,2nd fl.
127,La Caravelle,New York City,33 W. 55th St.
128,La Caridad,New York City,2199 Broadway
129,La Cote Basque,New York City,60 W. 55th St.
130,La Grenouille,New York City,3 E. 52nd St.
131,Le Bernardin,New York City,155 W. 51st St.
132,Lemongrass Grill,Brooklyn,61A Seventh Ave.
133,Les Celebrites,New York City,155 W. 58th St.
134,Lespinasse (New York City),New York City,2 E. 55th St.
135,Lombardi's,New York City,32 Spring St.
136,Lutece,New York City,249 E. 50th St.
137,Manhattan Ocean Club,New York City,57 W. 58th St.
138,March,New York City,405 E. 58th St.
139,Marnie's Noodle Shop,New York City,466 Hudson St.
140,Menchanko-tei,New York City,39 W. 55th St.
141,Mesa Grill,New York City,102 Fifth Ave.
142,Mi Cocina,New York City,57 Jane St.
143,Mitali East-West,New York City,296 Bleecker St.
144,Monsoon (NY),New York City,435 Amsterdam Ave.
145,Montrachet,New York City,239 W. Broadway
146,Moustache,Brooklyn,405 Atlantic Ave.
147,Nobu,New York City,105 Hudson St.
148,Oceana,New York City,55 E. 54th St.
149,One if by Land  TIBS,New York City,17 Barrow St.
150,Oyster Bar,New York City,lower level
151,Palm,New York City,837 Second Ave.
152,Palm Too,New York City,840 Second Ave.
153,Park Avenue Cafe (New York City),New York City,100 E. 63rd St.
154,Patsy's Pizza,Brooklyn,19 Old Fulton St.
155,Peter Luger Steak House,Brooklyn,178 Broadway
156,Petrossian,New York City,182 W. 58th St.
157,Picholine,New York City,35 W. 64th St.
158,Pisces,New York City,95 Ave.
159,Rainbow Room,New York City,30 Rockefeller Plaza
160,River Cafe,Brooklyn,1 Water St.
161,Rose of India,New York City,308 E. Sixth St.
162,Sam's Noodle Shop,New York City,411 Third Ave.
163,San Domenico,New York City,240 Central Park
164,Sarabeth's,New York City,1295 Madison Ave.
165,Second Avenue Deli,New York City,156 Second Ave.
166,Seryna,New York City,11 E. 53rd St.
167,Shun Lee Palace,New York City,155 E. 55th St.
168,Sign of the Dove,New York City,1110 Third Ave.
169,Smith & Wollensky,New York City,797 Third Ave.
170,Sparks Steak House,New York City,210 E. 46th St.
171,Stick To Your Ribs,Queens,5-16 51st Ave.
172,Sushisay,New York City,38 E. 51st St.
173,Sylvia's,New York City,328 Lenox Ave.
174,Szechuan Hunan Cottage,New York City,1588 York Ave.
175,Szechuan Kitchen,New York City,1460 First Ave.
176,Tavern on the Green,West New York City,Central Park
177,Teresa's,Queens,80 Montague St.
178,Thai House Cafe,New York City,151 Hudson St.
179,Thailand Restaurant,New York City,106 Bayard St.
180,Uncle Nick's,New York City,747 Ninth Ave.
181,Union Square Cafe,New York City,21 E. 16th St.
182,Veselka,New York City,144 Second Ave.
183,Virgil's Real BBQ,New York City,152 W. 44th St.
184,Westside Cottage,New York City,689 Ninth Ave.
185,Windows on the World,New York City,107th fl.
186,Wollensky's Grill,New York City,205 E. 49th St.
187,Yama,New York City,122 E. 17th St.
188,Zarela,New York City,953 Second Ave.
189,Andre's French Restaurant,Las Vegas,401 S. 6th St.
190,Buccaneer Bay Club,Las Vegas,3300 Las Vegas Blvd.
191,Buzio's in the Rio,Las Vegas,3700 W. Flamingo Rd.
192,Chin's,Las Vegas,3200 Las Vegas Blvd.
193,Coyote Cafe (Las Vegas),Las Vegas,3799 Las Vegas Blvd.
194,Emeril's New Orleans Fish House,Las Vegas,3799 Las Vegas Blvd.
195,Fiore Rotisserie & Grille,Las Vegas,3700 W. Flamingo Rd.
196,Hugo's Cellar,Las Vegas,202 E. Fremont St.
197,Le Montrachet Bistro,Las Vegas,3000 Paradise Rd.
198,Madame Ching's,Las Vegas,3300 Las Vegas Blvd.
199,Mayflower Cuisinier,Las Vegas,4750 W. Sahara Ave.
200,Michael's (Las Vegas),Las Vegas,3595 Las Vegas Blvd.
201,Monte Carlo,Las Vegas,3145 Las Vegas Blvd.
202,Moongate,Las Vegas,3400 Las Vegas Blvd.
203,Morton's of Chicago (Las Vegas),Las Vegas,3200 Las Vegas Blvd.
204,Nicky Blair's,Las Vegas,3925 Paradise Rd.
205,Palace Court,Las Vegas,3570 Las Vegas Blvd.
206,Piero's Restaurant,Las Vegas,355 Convention Center Dr.
207,Second Street Grill,Las Vegas,200 E. Fremont St.
208,Spago (Las Vegas),Las Vegas,3500 Las Vegas Blvd.
209,Steak House  The,Las Vegas,2880 Las Vegas Blvd.
210,Steakhouse  The,Las Vegas,128 E. Fremont St.
211,Stefano's,Las Vegas,129 Fremont St.
212,Sterling Brunch,Las Vegas,3645 Las Vegas Blvd.
213,Tillerman  The,Las Vegas,2245 E. Flamingo Rd.
214,Tre Visi,Las Vegas,3799 Las Vegas Blvd.
215,103 West,Atlanta,103 W. Paces Ferry Rd.
216,Abruzzi,Atlanta,2355 Peachtree Rd.
217,Alon's at the Terrace,Atlanta,659 Peachtree St.
218,Bacchanalia,Atlanta,3125 Piedmont Rd.
219,Baker's Cajun Cafe,Atlanta,1134 Euclid Ave.
220,Barbecue Kitchen,Atlanta,1437 Virginia Ave.
221,Bistro  The,Atlanta,56 E. Andrews Dr.
222,Bobby & June's Kountry Kitchen,Atlanta,375 14th St.
223,Bone's Restaurant,Atlanta,3130 Piedmont Rd.
224,Bradshaw's Restaurant,Atlanta,2911 S. Pharr Court
225,Brasserie Le Coze,Atlanta,3393 Peachtree Rd.
226,Brookhaven Cafe,Atlanta,4274 Peachtree Rd.
227,Buckhead Diner,Atlanta,3073 Piedmont Rd.
228,Cafe Sunflower,Atlanta,5975 Roswell Rd.
229,Canoe,Atlanta,4199 Paces Ferry Rd.
230,Carey's,Marietta,1021 Cobb Pkwy.
231,Carey's Corner,Marietta,1215 Powers Ferry Rd.
232,Chops,Atlanta,70 W. Paces Ferry Rd.
233,Chopstix,Atlanta,4279 Roswell Rd.
234,Ciboulette Restaurant,Atlanta,1529 Piedmont Ave.
235,Deacon Burton's Soulfood Restaurant,Atlanta,1029 Edgewood Ave.
236,Delectables,Atlanta,1 Margaret Mitchell Sq.
237,Eats,Atlanta,600 Ponce de Leon Ave.
238,Flying Biscuit  The,Atlanta,1655 McLendon Ave.
239,Frijoleros,Atlanta,1031 Peachtree St.
240,Georgia Grille,Atlanta,2290 Peachtree Rd.
241,Greenwood's,Roswell,1087 Green St.
242,Harold's Barbecue,Atlanta,171 McDonough Blvd.
243,Havana Sandwich Shop,Atlanta,2905 Buford Hwy.
244,Hedgerose Heights Inn  The,Atlanta,490 E. Paces Ferry Rd.
245,Heera of India,Atlanta,595 Piedmont Ave.
246,House of Chan,Smyrna,2469 Cobb Pkwy.
247,Indian Delights,Duluth,3675 Satellite Blvd.
248,Indigo Coastal Grill,Atlanta,1397 N. Highland Ave.
249,Java Jive,Atlanta,790 Ponce de Leon Ave.
250,Johnny Rockets (AT),Atlanta,2970 Cobb Pkwy.
251,Kalo's Coffee House,Decatur,1248 Clairmont Rd.
252,La Fonda Latina,Atlanta,4427 Roswell Rd.
253,La Grotta,Atlanta,2637 Peachtree Rd.
254,Lettuce Souprise You (AT),Duluth,3525 Mall Blvd.
255,Majestic,Atlanta,1031 Ponce de Leon Ave.
256,Mary Mac's Tea Room,Atlanta,224 Ponce de Leon Ave.
257,Morton's of Chicago (Atlanta),Atlanta,303 Peachtree St.
